C38155|recurrent-disease
C55073|recurrent-disease-distant-site
C55072|recurrent-disease-primary-site
C141154|lugano-classification-stage-ii-bulky-adult-lymphoma-ajcc-v8
C141195|lugano-classification-stage-ii-bulky-adult-hodgkin-lymphoma-ajcc-v8
C141164|lugano-classification-stage-ii-bulky-adult-non-hodgkin-lymphoma-ajcc-v8
C141174|lugano-classification-stage-ii-bulky-hodgkin-lymphoma-ajcc-v8
C141184|lugano-classification-stage-ii-bulky-childhood-hodgkin-lymphoma-ajcc-v8
C113481|infantile-colic
C92866|recurrent-deceleration
C111778|recurrent-variable-fetal-heart-rate-deceleration
C85173|sudden-infant-death-syndrome
C48880|recurrent-cancer-tnm-finding
C59079|recurrent-laryngeal-nerve-intra-operative-injury-adverse-event
C103171|recurrent-laryngeal-nerve-injury
C84401|recurrent-intrahepatic-cholestasis
C80329|recurrent-genetic-abnormalities-present
C2991|disease-or-disorder-non-neoplastic
C35470|behavioral-disorder
C99753|disruptive-behavior-disorder
C97250|intellectual-disability
C27927|alcohol-related-carcinoma
C27928|alcohol-related-esophageal-squamous-cell-cancer
C27924|alcohol-related-hepatocellular-cancer
C27929|alcohol-related-laryngeal-throat-cancer
C34868|organic-brain-syndrome
C34871|organic-affective-syndrome
C34869|organic-delusional-syndrome
C34872|organic-personality-syndrome
C35046|substance-withdrawal-syndrome
C103183|in-utero-drug-withdrawal
C87101|neonatal-abstinence-syndrome
C101321|neonatal-drug-withdrawal
C7698|nicotine-withdrawal
C99258|perinatal-drug-withdrawal
C103170|postnatal-drug-withdrawal
C98998|opiate-withdrawal-syndrome
C99255|neonatal-opiate-withdrawal-syndrome
C35074|tobacco-use-disorder
C96220|tobacco-induced-hyperparakeratosis
C27236|tobacco-related-carcinoma
C27772|cigarette-smoking-related-carcinoma
C27773|tobacco-chewing-related-carcinoma
C35458|dependence
C3479|addiction
C93040|alcohol-dependence
C21129|physical-dependence
C21131|psychological-dependence
C3894|drug-dependence
C34694|heroin-dependence
C54203|nicotine-dependence
C34445|cannabis-dependence
C35386|cannabis-dependence-continuous-use
C35387|cannabis-dependence-episodic-use
C34492|cocaine-dependence
C35388|cocaine-dependence-continuous-use
C35389|cocaine-dependence-episodic-use
C34657|hallucinogen-dependence
C35384|hallucinogen-dependence-continuous-use
C35385|hallucinogen-dependence-episodic-use
C35029|socialized-conduct-disorder
C35791|passive-aggressive-behavior
C35091|undersocialized-conduct-disorder-aggressive-type
C41341|withdrawal
C2958|communication-disorder
C5041|speech-disorder
C79549|dysarthria
C86950|dysphonia
C3113|hyperplasia
C2905|bone-marrow-hyperplasia
C127935|cervical-mesonephric-remnants-and-hyperplasia
C96346|circumferential-endothelial-hyperplasia
C97080|denture-induced-fibrous-hyperplasia
C97081|diffuse-hyperplasia
C97082|drug-induced-gingival-hyperplasia
C97083|focal-epithelial-hyperplasia
C35826|foveolar-hyperplasia
C35840|intraepithelial-melanocytic-hyperplasia
C35856|mesonephric-hyperplasia
C120169|neuroendocrine-cell-hyperplasia-of-infancy
C34977|reticuloendothelial-hyperplasia
C35855|squamous-hyperplasia
C40117|tubal-epithelial-hyperplasia
C35408|adrenal-gland-hyperplasia
C3506|adrenal-cortical-hyperplasia
