C4872|Breast Cancer
C118809|Childhood Breast Cancer
C94774|Early-Stage Breast Cancer
C94772|Multicentric Breast Cancer
C94770|Multifocal Breast Cancer
C137674|Occult Breast Carcinoma
C7566|Sporadic Breast Cancer
C46073|Unilateral Breast Cancer
C8287|Bilateral Breast Cancer
C99390|Contralateral Breast Carcinoma
C40370|Synchronous Bilateral Breast Carcinoma
C53553|Breast Carcinoma by Gene Expression Profile
C53558|Basal-Like Breast Carcinoma
C53554|Luminal A Breast Cancer
C53556|HER2 Positive Breast Carcinoma
C53557|Normal Breast-Like Subtype of Breast Carcinoma
C53555|Luminal B Breast Carcinoma
C71732|Triple-Negative Breast Cancer
C2918|Female Breast Cancer
C36107|Hereditary Female Breast Carcinoma
C28432|Nipple Cancer
C27234|Nipple Duct Carcinoma
C3301|Paget Disease of the Nipple
C28292|Squamous Cell Carcinoma In Situ of the Nipple
C7771|Recurrent Breast Cancer
C8607|Recurrent Inflammatory Breast Carcinoma
C90513|Breast Cancer by AJCC v6 Stage
C7767,C88375,C139556,C139535|Stage I Breast Cancer
C7769,C88376,C139582,C139541|Stage III Breast Cancer
C27828,C88377,C139585,C139544|Stage IIIC Breast Cancer
C7768,C139569,C139538|Stage II Breast Cancer
C5454,C139571,C139539|Stage IIA Breast Cancer
C5455,C139572,C139540|Stage IIB Breast Cancer
C3641,C139555,C139534|Stage 0 Breast Cancer
C4195|Ductal Breast Carcinoma In Situ and Lobular Carcinoma In Situ
C2924|Ductal Carcinoma In Situ (DCIS)
C66933|Ductal Breast Carcinoma In Situ, Solid Type
C7949|High Grade Ductal Breast Carcinoma In Situ
C9456|Intermediate Grade Ductal Breast Carcinoma In Situ
C5138|Intraductal Cribriform Breast Adenocarcinoma
C5137|Intraductal Non-Comedo Breast Adenocarcinoma
C9457|Low Grade Ductal Breast Carcinoma In Situ
C4018|Lobular Carcinoma In Situ (LCIS)
C137839|Pleomorphic Lobular Breast Carcinoma In Situ
C3995,C139587,C139545|Stage IV Breast Cancer
C36303|Breast Carcinoma Metastatic in the Bone
C36302|Breast Carcinoma Metastatic in the Liver
C36300|Breast Carcinoma Metastatic in the Lung
C28311|Breast Carcinoma Metastatic in the Skin
C7696|Stage IV Inflammatory Breast Cancer
C133501|Breast Carcinoma Metastatic in the Central Nervous System
C36301|Breast Carcinoma Metastatic in the Brain
C4503|Hereditary Breast Cancer
C36106|Hereditary Male Breast Carcinoma
C3862|Male Breast Cancer
C91230|Breast Cancer by AJCC v7 Stage
C85835,C139557,C139536|Stage IA Breast Cancer
C85836,C139558,C139537|Stage IB Breast Cancer
C7770,C139583,C139542|Stage IIIA Breast Cancer
