C4872|breast-cancer
C7566|sporadic-breast-cancer
C94772|multicentric-breast-cancer
C94770|multifocal-breast-cancer
C94774|early-stage-breast-cancer
C137674|occult-breast-carcinoma
C118809|childhood-breast-cancer
C46073|unilateral-breast-cancer
C3862|male-breast-cancer
C36106|hereditary-male-breast-carcinoma
C7771|recurrent-breast-cancer
C8607|recurrent-inflammatory-breast-carcinoma
C4503|hereditary-breast-cancer
C36107|hereditary-female-breast-carcinoma
C2918|female-breast-cancer
C28432|nipple-cancer
C3301|paget-disease-of-the-nipple
C28292|squamous-cell-carcinoma-in-situ-of-the-nipple
C27234|nipple-duct-carcinoma
C53553|breast-carcinoma-by-gene-expression-profile
C53556|her2-positive-breast-carcinoma
C71732|triple-negative-breast-cancer
C53557|normal-breast-like-subtype-of-breast-carcinoma
C53554|luminal-a-breast-cancer
C53558|basal-like-breast-carcinoma
C53555|luminal-b-breast-carcinoma
C8287|bilateral-breast-cancer
C40370|synchronous-bilateral-breast-carcinoma
C99390|contralateral-breast-carcinoma
C91230|breast-cancer-by-ajcc-v7-stage
C7768,C139569,C139538|stage-ii-breast-cancer
C5455,C139572,C139540|stage-iib-breast-cancer
C5454,C139571,C139539|stage-iia-breast-cancer
C88375,C139556,C139535,C7767|stage-i-breast-cancer
C85835,C139557,C139536|stage-ia-breast-cancer
C85836,C139558,C139537|stage-ib-breast-cancer
C88376,C139582,C139541,C7769|stage-iii-breast-cancer
C7770,C139583,C139542|stage-iiia-breast-cancer
C88377,C139585,C139544,C27828|stage-iiic-breast-cancer
C7782,C139584,C139543|stage-iiib-breast-cancer
C9246|stage-iiib-inflammatory-breast-cancer
C3995,C139587,C139545|stage-iv-breast-cancer
C28311|breast-carcinoma-metastatic-in-the-skin
C36302|breast-carcinoma-metastatic-in-the-liver
C36303|breast-carcinoma-metastatic-in-the-bone
C7696|stage-iv-inflammatory-breast-cancer
C36300|breast-carcinoma-metastatic-in-the-lung
C133501|breast-carcinoma-metastatic-in-the-central-nervous-system
C36301|breast-carcinoma-metastatic-in-the-brain
C3641,C139555,C139534|stage-0-breast-cancer
C4195|ductal-breast-carcinoma-in-situ-and-lobular-carcinoma-in-situ
C4018|lobular-carcinoma-in-situ-lcis
C137839|pleomorphic-lobular-breast-carcinoma-in-situ
C2924|ductal-carcinoma-in-situ-dcis
C7949|high-grade-ductal-breast-carcinoma-in-situ
C9456|intermediate-grade-ductal-breast-carcinoma-in-situ
C66933|ductal-breast-carcinoma-in-situ-solid-type
C9457|low-grade-ductal-breast-carcinoma-in-situ
C5137|intraductal-non-comedo-breast-adenocarcinoma
C5138|intraductal-cribriform-breast-adenocarcinoma
C139532|breast-cancer-by-ajcc-v8-stage
C139554|breast-cancer-by-ajcc-v8-prognostic-stage
